Epoch: [0][1400/2151], lr: 0.00100	Time 0.397 (0.770)	Data 0.038 (0.386)	Loss 5.0462 (5.1052)	Prec@1 0.000 (0.906)	Prec@5 2.500 (4.288)
Epoch: [0][1420/2151], lr: 0.00100	Time 0.354 (0.769)	Data 0.000 (0.386)	Loss 5.0438 (5.1046)	Prec@1 0.000 (0.911)	Prec@5 2.500 (4.309)
Epoch: [0][1440/2151], lr: 0.00100	Time 0.363 (0.769)	Data 0.000 (0.386)	Loss 5.0652 (5.1035)	Prec@1 2.500 (0.916)	Prec@5 2.500 (4.323)
Epoch: [0][1460/2151], lr: 0.00100	Time 0.354 (0.769)	Data 0.000 (0.386)	Loss 5.0871 (5.1029)	Prec@1 0.000 (0.919)	Prec@5 2.500 (4.343)
Epoch: [0][1480/2151], lr: 0.00100	Time 0.356 (0.770)	Data 0.000 (0.386)	Loss 4.9992 (5.1020)	Prec@1 2.500 (0.944)	Prec@5 10.000 (4.384)
Epoch: [0][1500/2151], lr: 0.00100	Time 0.363 (0.769)	Data 0.000 (0.386)	Loss 5.0713 (5.1011)	Prec@1 2.500 (0.939)	Prec@5 5.000 (4.425)
Epoch: [0][1520/2151], lr: 0.00100	Time 0.357 (0.770)	Data 0.000 (0.387)	Loss 5.0908 (5.1000)	Prec@1 0.000 (0.952)	Prec@5 2.500 (4.453)
Epoch: [0][1540/2151], lr: 0.00100	Time 0.356 (0.769)	Data 0.000 (0.387)	Loss 5.0357 (5.0990)	Prec@1 0.000 (0.952)	Prec@5 2.500 (4.465)
Epoch: [0][1560/2151], lr: 0.00100	Time 0.357 (0.770)	Data 0.000 (0.388)	Loss 5.0251 (5.0978)	Prec@1 0.000 (0.961)	Prec@5 2.500 (4.480)
Epoch: [0][1580/2151], lr: 0.00100	Time 0.376 (0.771)	Data 0.000 (0.389)	Loss 4.9188 (5.0972)	Prec@1 2.500 (0.963)	Prec@5 5.000 (4.499)
Epoch: [0][1600/2151], lr: 0.00100	Time 0.353 (0.770)	Data 0.000 (0.388)	Loss 5.1398 (5.0966)	Prec@1 5.000 (0.973)	Prec@5 7.500 (4.503)
Epoch: [0][1620/2151], lr: 0.00100	Time 0.359 (0.770)	Data 0.000 (0.388)	Loss 4.8848 (5.0957)	Prec@1 0.000 (0.975)	Prec@5 15.000 (4.543)
Epoch: [0][1640/2151], lr: 0.00100	Time 0.355 (0.770)	Data 0.000 (0.388)	Loss 5.1010 (5.0952)	Prec@1 0.000 (0.978)	Prec@5 2.500 (4.576)
Epoch: [0][1660/2151], lr: 0.00100	Time 0.357 (0.770)	Data 0.000 (0.387)	Loss 4.9365 (5.0944)	Prec@1 5.000 (0.984)	Prec@5 17.500 (4.612)
Epoch: [0][1680/2151], lr: 0.00100	Time 0.354 (0.770)	Data 0.000 (0.388)	Loss 5.0945 (5.0936)	Prec@1 2.500 (0.995)	Prec@5 2.500 (4.625)
Epoch: [0][1700/2151], lr: 0.00100	Time 0.362 (0.771)	Data 0.000 (0.389)	Loss 5.1586 (5.0925)	Prec@1 0.000 (1.013)	Prec@5 0.000 (4.655)
Epoch: [0][1720/2151], lr: 0.00100	Time 0.356 (0.771)	Data 0.000 (0.389)	Loss 4.9722 (5.0913)	Prec@1 2.500 (1.028)	Prec@5 7.500 (4.692)
Epoch: [0][1740/2151], lr: 0.00100	Time 0.355 (0.771)	Data 0.000 (0.389)	Loss 4.9772 (5.0904)	Prec@1 0.000 (1.025)	Prec@5 2.500 (4.709)
Epoch: [0][1760/2151], lr: 0.00100	Time 0.356 (0.770)	Data 0.000 (0.389)	Loss 5.0365 (5.0894)	Prec@1 2.500 (1.046)	Prec@5 12.500 (4.742)
Epoch: [0][1780/2151], lr: 0.00100	Time 0.359 (0.771)	Data 0.000 (0.389)	Loss 5.0438 (5.0886)	Prec@1 0.000 (1.057)	Prec@5 7.500 (4.773)
Epoch: [0][1800/2151], lr: 0.00100	Time 0.358 (0.771)	Data 0.000 (0.389)	Loss 5.0345 (5.0878)	Prec@1 2.500 (1.067)	Prec@5 7.500 (4.814)
Epoch: [0][1820/2151], lr: 0.00100	Time 0.358 (0.771)	Data 0.000 (0.389)	Loss 4.9960 (5.0867)	Prec@1 2.500 (1.083)	Prec@5 10.000 (4.859)
Epoch: [0][1840/2151], lr: 0.00100	Time 0.360 (0.771)	Data 0.000 (0.389)	Loss 5.0554 (5.0853)	Prec@1 5.000 (1.101)	Prec@5 17.500 (4.921)
Epoch: [0][1860/2151], lr: 0.00100	Time 0.374 (0.772)	Data 0.000 (0.389)	Loss 5.0050 (5.0844)	Prec@1 0.000 (1.115)	Prec@5 10.000 (4.961)
Epoch: [0][1880/2151], lr: 0.00100	Time 0.360 (0.772)	Data 0.000 (0.389)	Loss 4.9035 (5.0834)	Prec@1 5.000 (1.123)	Prec@5 12.500 (4.993)
Epoch: [0][1900/2151], lr: 0.00100	Time 0.367 (0.771)	Data 0.000 (0.389)	Loss 4.9335 (5.0823)	Prec@1 7.500 (1.138)	Prec@5 7.500 (5.043)
Epoch: [0][1920/2151], lr: 0.00100	Time 0.354 (0.771)	Data 0.000 (0.389)	Loss 4.8505 (5.0817)	Prec@1 2.500 (1.149)	Prec@5 10.000 (5.082)
Epoch: [0][1940/2151], lr: 0.00100	Time 0.355 (0.770)	Data 0.000 (0.388)	Loss 5.0633 (5.0805)	Prec@1 0.000 (1.159)	Prec@5 12.500 (5.121)
Epoch: [0][1960/2151], lr: 0.00100	Time 0.362 (0.771)	Data 0.000 (0.388)	Loss 5.0739 (5.0793)	Prec@1 2.500 (1.177)	Prec@5 5.000 (5.162)
Epoch: [0][1980/2151], lr: 0.00100	Time 0.357 (0.771)	Data 0.000 (0.388)	Loss 5.0012 (5.0783)	Prec@1 0.000 (1.185)	Prec@5 7.500 (5.220)
Epoch: [0][2000/2151], lr: 0.00100	Time 0.360 (0.771)	Data 0.000 (0.389)	Loss 4.9930 (5.0775)	Prec@1 0.000 (1.193)	Prec@5 5.000 (5.247)
Epoch: [0][2020/2151], lr: 0.00100	Time 0.360 (0.771)	Data 0.000 (0.389)	Loss 5.1214 (5.0769)	Prec@1 0.000 (1.201)	Prec@5 10.000 (5.282)
Epoch: [0][2040/2151], lr: 0.00100	Time 0.363 (0.771)	Data 0.000 (0.389)	Loss 5.0708 (5.0758)	Prec@1 0.000 (1.218)	Prec@5 12.500 (5.317)
Epoch: [0][2060/2151], lr: 0.00100	Time 0.359 (0.770)	Data 0.000 (0.389)	Loss 5.0070 (5.0745)	Prec@1 5.000 (1.232)	Prec@5 7.500 (5.360)
Epoch: [0][2080/2151], lr: 0.00100	Time 0.357 (0.771)	Data 0.000 (0.390)	Loss 4.9826 (5.0735)	Prec@1 2.500 (1.243)	Prec@5 2.500 (5.377)
Epoch: [0][2100/2151], lr: 0.00100	Time 0.357 (0.771)	Data 0.000 (0.390)	Loss 4.9794 (5.0721)	Prec@1 2.500 (1.261)	Prec@5 7.500 (5.428)
Epoch: [0][2120/2151], lr: 0.00100	Time 0.358 (0.771)	Data 0.000 (0.390)	Loss 5.0209 (5.0709)	Prec@1 0.000 (1.268)	Prec@5 2.500 (5.459)
Epoch: [0][2140/2151], lr: 0.00100	Time 0.358 (0.771)	Data 0.000 (0.391)	Loss 4.9503 (5.0700)	Prec@1 5.000 (1.284)	Prec@5 17.500 (5.495)
